"date","ex_rate","ex_diff","diff_lag"
1999-07-02,1.02,0,-0.0196078431372549
1999-07-05,1.02,0,0
1999-07-06,1.02,0,0
1999-07-07,1.02,0,0
1999-07-08,1.02,0,0
1999-07-09,1.02,0,0
1999-07-12,1.01,-0.00990099009900991,0
1999-07-13,1.02,0.00980392156862746,-0.00990099009900991
1999-07-14,1.01,-0.00990099009900991,0.00980392156862746
1999-07-15,1.02,0.00980392156862746,-0.00990099009900991
1999-07-16,1.02,0,0.00980392156862746
1999-07-19,1.03,0.00970873786407768,0
1999-07-20,1.04,0.00961538461538462,0.00970873786407768
1999-07-21,1.05,0.00952380952380953,0.00961538461538462
1999-07-22,1.05,0,0.00952380952380953
1999-07-23,1.05,0,0
1999-07-26,1.06,0.00943396226415095,0
1999-07-27,1.06,0,0.00943396226415095
1999-07-28,1.07,0.00934579439252337,0
1999-07-29,1.07,0,0.00934579439252337
1999-07-30,1.07,0,0
1999-08-02,1.07,0,0
1999-08-03,1.07,0,0
1999-08-04,1.08,0.00925925925925927,0
1999-08-05,1.08,0,0.00925925925925927
1999-08-06,1.07,-0.00934579439252337,0
1999-08-09,1.07,0,-0.00934579439252337
1999-08-10,1.07,0,0
1999-08-11,1.07,0,0
1999-08-12,1.07,0,0
1999-08-13,1.06,-0.00943396226415095,0
1999-08-16,1.06,0,-0.00943396226415095
1999-08-17,1.05,-0.00952380952380953,0
1999-08-18,1.05,0,-0.00952380952380953
1999-08-19,1.06,0.00943396226415095,0
1999-08-20,1.07,0.00934579439252337,0.00943396226415095
1999-08-23,1.05,-0.0190476190476191,0.00934579439252337
1999-08-24,1.05,0,-0.0190476190476191
1999-08-25,1.04,-0.00961538461538462,0
1999-08-26,1.05,0.00952380952380953,-0.00961538461538462
1999-08-27,1.05,0,0.00952380952380953
1999-08-30,1.05,0,0
1999-08-31,1.06,0.00943396226415095,0
1999-09-01,1.06,0,0.00943396226415095
1999-09-02,1.07,0.00934579439252337,0
1999-09-03,1.06,-0.00943396226415095,0.00934579439252337
1999-09-06,1.06,0,-0.00943396226415095
1999-09-07,1.06,0,0
1999-09-08,1.06,0,0
1999-09-09,1.05,-0.00952380952380953,0
1999-09-10,1.04,-0.00961538461538462,-0.00952380952380953
1999-09-13,1.04,0,-0.00961538461538462
1999-09-14,1.04,0,0
1999-09-15,1.04,0,0
1999-09-16,1.04,0,0
1999-09-17,1.04,0,0
1999-09-20,1.04,0,0
1999-09-21,1.05,0.00952380952380953,0
1999-09-22,1.04,-0.00961538461538462,0.00952380952380953
1999-09-23,1.05,0.00952380952380953,-0.00961538461538462
1999-09-24,1.04,-0.00961538461538462,0.00952380952380953
1999-09-27,1.05,0.00952380952380953,-0.00961538461538462
1999-09-28,1.05,0,0.00952380952380953
1999-09-29,1.06,0.00943396226415095,0
1999-09-30,1.07,0.00934579439252337,0.00943396226415095
1999-10-01,1.07,0,0.00934579439252337
1999-10-04,1.07,0,0
1999-10-05,1.07,0,0
1999-10-06,1.07,0,0
1999-10-07,1.07,0,0
1999-10-08,1.06,-0.00943396226415095,0
1999-10-11,1.06,0,-0.00943396226415095
1999-10-12,1.08,0.0185185185185185,0
1999-10-13,1.08,0,0.0185185185185185
1999-10-14,1.08,0,0
1999-10-15,1.09,0.00917431192660551,0
1999-10-18,1.08,-0.00925925925925927,0.00917431192660551
1999-10-19,1.08,0,-0.00925925925925927
1999-10-20,1.07,-0.00934579439252337,0
1999-10-21,1.08,0.00925925925925927,-0.00934579439252337
1999-10-22,1.07,-0.00934579439252337,0.00925925925925927
1999-10-25,1.07,0,-0.00934579439252337
1999-10-26,1.06,-0.00943396226415095,0
1999-10-27,1.05,-0.00952380952380953,-0.00943396226415095
1999-10-28,1.05,0,-0.00952380952380953
1999-10-29,1.05,0,0
1999-11-01,1.05,0,0
1999-11-02,1.05,0,0
1999-11-03,1.05,0,0
1999-11-04,1.04,-0.00961538461538462,0
1999-11-05,1.04,0,-0.00961538461538462
1999-11-08,1.04,0,0
1999-11-09,1.04,0,0
1999-11-10,1.04,0,0
1999-11-11,1.04,0,0
1999-11-12,1.03,-0.00970873786407768,0
1999-11-15,1.03,0,-0.00970873786407768
1999-11-16,1.03,0,0
1999-11-17,1.04,0.00961538461538462,0
1999-11-18,1.03,-0.00970873786407768,0.00961538461538462
1999-11-19,1.03,0,-0.00970873786407768
1999-11-22,1.03,0,0
1999-11-23,1.03,0,0
1999-11-24,1.02,-0.00980392156862746,0
1999-11-25,1.02,0,-0.00980392156862746
1999-11-26,1.02,0,0
1999-11-29,1.01,-0.00990099009900991,0
1999-11-30,1.01,0,-0.00990099009900991
1999-12-01,1.01,0,0
1999-12-02,1,-0.01,0
1999-12-03,1,0,-0.01
1999-12-06,1.02,0.0196078431372549,0
1999-12-07,1.03,0.00970873786407768,0.0196078431372549
1999-12-08,1.03,0,0.00970873786407768
1999-12-09,1.02,-0.00980392156862746,0
1999-12-10,1.01,-0.00990099009900991,-0.00980392156862746
1999-12-13,1.01,0,-0.00990099009900991
1999-12-14,1.01,0,0
1999-12-15,1.01,0,0
1999-12-16,1.02,0.00980392156862746,0
1999-12-17,1.01,-0.00990099009900991,0.00980392156862746
1999-12-20,1.01,0,-0.00990099009900991
1999-12-21,1.01,0,0
1999-12-22,1.01,0,0
1999-12-23,1.02,0.00980392156862746,0
1999-12-24,1.01,-0.00990099009900991,0.00980392156862746
1999-12-27,1.01,0,-0.00990099009900991
1999-12-28,1.01,0,0
1999-12-29,1.01,0,0
1999-12-30,1.01,0,0
1999-12-31,1.01,0,0
2000-01-03,1.02,0.00980392156862746,0
2000-01-04,1.03,0.00970873786407768,0.00980392156862746
2000-01-05,1.03,0,0.00970873786407768
2000-01-06,1.03,0,0
2000-01-07,1.03,0,0
2000-01-10,1.03,0,0
2000-01-11,1.03,0,0
2000-01-12,1.03,0,0
2000-01-13,1.03,0,0
2000-01-14,1.01,-0.0198019801980198,0
2000-01-17,1.01,0,-0.0198019801980198
2000-01-18,1.01,0,0
2000-01-19,1.01,0,0
2000-01-20,1.02,0.00980392156862746,0
2000-01-21,1.01,-0.00990099009900991,0.00980392156862746
2000-01-24,1.01,0,-0.00990099009900991
2000-01-25,1,-0.01,0
2000-01-26,1,0,-0.01
2000-01-27,0.99,-0.0101010101010101,0
2000-01-28,0.97,-0.0206185567010309,-0.0101010101010101
2000-01-31,0.97,0,-0.0206185567010309
2000-02-01,0.97,0,0
2000-02-02,0.98,0.0102040816326531,0
2000-02-03,0.99,0.0101010101010101,0.0102040816326531
2000-02-04,0.98,-0.0102040816326531,0.0101010101010101
2000-02-07,0.98,0,-0.0102040816326531
2000-02-08,0.99,0.0101010101010101,0
2000-02-09,0.99,0,0.0101010101010101
2000-02-10,0.99,0,0
2000-02-11,0.99,0,0
2000-02-14,0.98,-0.0102040816326531,0
2000-02-15,0.98,0,-0.0102040816326531
2000-02-16,0.99,0.0101010101010101,0
2000-02-17,0.99,0,0.0101010101010101
2000-02-18,0.98,-0.0102040816326531,0
2000-02-21,0.99,0.0101010101010101,-0.0102040816326531
2000-02-22,1,0.01,0.0101010101010101
2000-02-23,1,0,0.01
2000-02-24,0.99,-0.0101010101010101,0
2000-02-25,0.97,-0.0206185567010309,-0.0101010101010101
2000-02-28,0.97,0,-0.0206185567010309
2000-02-29,0.96,-0.0104166666666667,0
2000-03-01,0.97,0.0103092783505155,-0.0104166666666667
2000-03-02,0.97,0,0.0103092783505155
2000-03-03,0.96,-0.0104166666666667,0
2000-03-06,0.96,0,-0.0104166666666667
2000-03-07,0.96,0,0
2000-03-08,0.96,0,0
2000-03-09,0.97,0.0103092783505155,0
2000-03-10,0.96,-0.0104166666666667,0.0103092783505155
2000-03-13,0.96,0,-0.0104166666666667
2000-03-14,0.97,0.0103092783505155,0
2000-03-15,0.97,0,0.0103092783505155
2000-03-16,0.97,0,0
2000-03-17,0.97,0,0
2000-03-20,0.97,0,0
2000-03-21,0.96,-0.0104166666666667,0
2000-03-22,0.96,0,-0.0104166666666667
2000-03-23,0.97,0.0103092783505155,0
2000-03-24,0.98,0.0102040816326531,0.0103092783505155
2000-03-27,0.97,-0.0103092783505155,0.0102040816326531
2000-03-28,0.96,-0.0104166666666667,-0.0103092783505155
2000-03-29,0.95,-0.0105263157894737,-0.0104166666666667
2000-03-30,0.96,0.0104166666666667,-0.0105263157894737
2000-03-31,0.96,0,0.0104166666666667
2000-04-03,0.96,0,0
2000-04-04,0.96,0,0
2000-04-05,0.96,0,0
2000-04-06,0.96,0,0
2000-04-07,0.96,0,0
2000-04-10,0.96,0,0
2000-04-11,0.96,0,0
2000-04-12,0.96,0,0
2000-04-13,0.95,-0.0105263157894737,0
2000-04-14,0.96,0.0104166666666667,-0.0105263157894737
2000-04-17,0.95,-0.0105263157894737,0.0104166666666667
2000-04-18,0.95,0,-0.0105263157894737
2000-04-19,0.94,-0.0106382978723404,0
2000-04-20,0.94,0,-0.0106382978723404
2000-04-21,0.94,0,0
2000-04-24,0.94,0,0
2000-04-25,0.92,-0.0217391304347825,0
2000-04-26,0.92,0,-0.0217391304347825
2000-04-27,0.91,-0.010989010989011,0
2000-04-28,0.91,0,-0.010989010989011
2000-05-01,0.92,0.0108695652173913,0
2000-05-02,0.91,-0.010989010989011,0.0108695652173913
2000-05-03,0.89,-0.0224719101123596,-0.010989010989011
2000-05-04,0.89,0,-0.0224719101123596
2000-05-05,0.9,0.0111111111111111,0
2000-05-08,0.9,0,0.0111111111111111
2000-05-09,0.91,0.010989010989011,0
2000-05-10,0.91,0,0.010989010989011
2000-05-11,0.9,-0.0111111111111111,0
2000-05-12,0.92,0.0217391304347826,-0.0111111111111111
2000-05-15,0.91,-0.010989010989011,0.0217391304347826
2000-05-16,0.9,-0.0111111111111111,-0.010989010989011
2000-05-17,0.9,0,-0.0111111111111111
2000-05-18,0.89,-0.0112359550561798,0
2000-05-19,0.9,0.0111111111111111,-0.0112359550561798
2000-05-22,0.9,0,0.0111111111111111
2000-05-23,0.91,0.010989010989011,0
2000-05-24,0.9,-0.0111111111111111,0.010989010989011
2000-05-25,0.91,0.010989010989011,-0.0111111111111111
2000-05-26,0.93,0.021505376344086,0.010989010989011
2000-05-29,0.93,0,0.021505376344086
2000-05-30,0.93,0,0
2000-05-31,0.94,0.0106382978723403,0
2000-06-01,0.93,-0.0107526881720429,0.0106382978723403
2000-06-02,0.95,0.0210526315789473,-0.0107526881720429
2000-06-05,0.95,0,0.0210526315789473
2000-06-06,0.95,0,0
2000-06-07,0.96,0.0104166666666667,0
2000-06-08,0.96,0,0.0104166666666667
2000-06-09,0.95,-0.0105263157894737,0
2000-06-12,0.95,0,-0.0105263157894737
2000-06-13,0.96,0.0104166666666667,0
2000-06-14,0.96,0,0.0104166666666667
2000-06-15,0.95,-0.0105263157894737,0
2000-06-16,0.97,0.0206185567010309,-0.0105263157894737
2000-06-19,0.96,-0.0104166666666667,0.0206185567010309
2000-06-20,0.95,-0.0105263157894737,-0.0104166666666667
2000-06-21,0.94,-0.0106382978723404,-0.0105263157894737
2000-06-22,0.94,0,-0.0106382978723404
2000-06-23,0.94,0,0
2000-06-26,0.94,0,0
2000-06-27,0.95,0.0105263157894737,0
2000-06-28,0.94,-0.0106382978723404,0.0105263157894737
2000-06-29,0.95,0.0105263157894737,-0.0106382978723404
2000-06-30,0.95,0,0.0105263157894737
2000-07-03,0.95,0,0
2000-07-04,0.95,0,0
2000-07-05,0.95,0,0
2000-07-06,0.95,0,0
2000-07-07,0.95,0,0
2000-07-10,0.96,0.0104166666666667,0
2000-07-11,0.95,-0.0105263157894737,0.0104166666666667
2000-07-12,0.94,-0.0106382978723404,-0.0105263157894737
2000-07-13,0.94,0,-0.0106382978723404
2000-07-14,0.94,0,0
2000-07-17,0.94,0,0
2000-07-18,0.92,-0.0217391304347825,0
2000-07-19,0.92,0,-0.0217391304347825
2000-07-20,0.93,0.010752688172043,0
2000-07-21,0.94,0.0106382978723403,0.010752688172043
2000-07-24,0.93,-0.0107526881720429,0.0106382978723403
2000-07-25,0.94,0.0106382978723403,-0.0107526881720429
2000-07-26,0.94,0,0.0106382978723403
2000-07-27,0.93,-0.0107526881720429,0
2000-07-28,0.92,-0.0108695652173913,-0.0107526881720429
2000-07-31,0.93,0.010752688172043,-0.0108695652173913
2000-08-01,0.91,-0.021978021978022,0.010752688172043
2000-08-02,0.91,0,-0.021978021978022
2000-08-03,0.91,0,0
2000-08-04,0.91,0,0
2000-08-07,0.91,0,0
2000-08-08,0.9,-0.0111111111111111,0
2000-08-09,0.9,0,-0.0111111111111111
2000-08-10,0.91,0.010989010989011,0
2000-08-11,0.9,-0.0111111111111111,0.010989010989011
2000-08-14,0.91,0.010989010989011,-0.0111111111111111
2000-08-15,0.91,0,0.010989010989011
2000-08-16,0.92,0.0108695652173913,0
