"time","date","value","log_value","feb","mar","apr","may","jun","jly","aug","sep","oct","nov","dec","early","febe","mare","apre","maye","june","jlye","auge","sepe","octe","nove","dece","exp_resid","quad_resid","exp_predict","quad_predict","exp_seasonal_resid","quad_seasonal_resid","exp_seasonal_predict","quad_seasonal_predict","exp_seasonal_chg_resid","quad_seasonal_chg_resid","exp_seasonal_chg_predict","quad_seasonal_chg_predict"
11,1981-11-01,1.766,0.568717102181768,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1.20349212509094,-11.0760976488571,1.46739639020617,12.842097648857,1.16616769529066,-11.7150609557357,1.51436196280487,13.4810609557356,1.12491954065879,-7.50952437234459,1.56989005539522,9.27552437234468
12,1981-12-01,1.909,0.646579544743611,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1.28517771818863,-10.5904781139985,1.4853976792335,12.4994781139984,0.984022423050488,-16.1334128301464,1.93999644244088,18.0424128301463,0.813781302548573,-10.7397309675051,2.34583910200623,12.6487309675052
13,1982-01-01,1.43689540161617,0.362484815036455,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.955624156090805,-10.7236136868305,1.50361979912073,12.1605090884466,1.00581556061185,-10.0807608877262,1.4285873652045,11.5176562893423,1.28932995367855,-5.54204890050107,1.11445126789819,6.97894430211736
14,1982-02-01,1.48563882551207,0.395844865281409,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.976067630215472,-10.3395517466896,1.52206545891098,11.8251905722016,1.19630606642217,-2.72188576975772,1.241855129896,4.20752459526973,1.16569741816185,-5.51820348666971,1.27446351202761,7.0038423121819
15,1982-03-01,1.5125958983147,0.41382731275735,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.981735042876331,-9.98092666694876,1.54073740088062,11.4935225652633,0.952501968965752,-11.8464064843726,1.58802390713912,13.3590023826872,0.945165134113889,-6.47631096289233,1.60035092675397,7.98890686120712
16,1982-04-01,1.8143528268265,0.595728834889289,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.16331633391754,-9.35115224080557,1.55963840094685,11.165505067632,1.22444412648507,-8.70510343208361,1.48177674062992,10.51945625891,1.08467480576901,-6.0214200279438,1.67271593031994,7.83577285477038
17,1982-05-01,1.62457866034402,0.485248496219148,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1.02901458378466,-9.21655941896345,1.57877126908048,10.8411380793074,1.08309357936237,-8.5694540677378,1.4999430255144,10.1940327280817,0.969178023320711,-6.03119712263248,1.67624380789991,7.65577578297658
18,1982-06-01,1.62888771830727,0.487897400483926,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.0192404236897,-8.89153388198241,1.59813884972362,10.5204216002896,1.01082254734453,-8.61915458553385,1.61144774875316,10.248042303841,0.993652829689454,-5.56060464739476,1.63929258754926,7.18949236570212
19,1982-07-01,1.46600124842275,0.382538455048511,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.906200998608976,-8.73735438215595,1.61774402221259,10.2033556305786,0.887093071884979,-10.3412974113656,1.65259012259858,11.8072986597882,0.886071271311663,-5.55367227889006,1.65449585816343,7.01967352731291
20,1982-08-01,1.44942487308476,0.371166838498439,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.885096475641823,-8.44051529708976,1.63758970120598,9.88994017017442,0.870202307365856,-9.12132932261095,1.66561828303149,10.5707541956956,0.860382552319257,-5.19848326976145,1.68462838905516,6.64790814284629
21,1982-09-01,1.56378178835111,0.447107110874452,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.943356308433003,-8.01639343072602,1.65767883711796,9.58017521907705,0.905348723500819,-11.1442094875388,1.72727010902964,12.7079912758899,0.922704014832039,-4.76082641725293,1.69478160191572,6.32460820560413
